-181.387, 53.959, 4.078, 11.200
-181.387, 53.754, 4.098, 11.250
-181.387, 53.549, 4.118, 11.300
-181.387, 53.342, 4.138, 11.350
-181.387, 53.134, 4.158, 11.400
-181.387, 52.926, 4.178, 11.450
-181.388, 52.716, 4.199, 11.500
-181.388, 52.506, 4.219, 11.550
-181.388, 52.294, 4.239, 11.600
-181.388, 52.081, 4.260, 11.650
-181.388, 51.868, 4.281, 11.700
-181.388, 51.653, 4.302, 11.750
-181.388, 51.437, 4.323, 11.800
-181.388, 51.220, 4.343, 11.850
-181.388, 51.002, 4.365, 11.900
-181.389, 50.783, 4.386, 11.950
-181.389, 50.563, 4.407, 12.000
-181.389, 50.342, 4.429, 12.050
-181.389, 50.120, 4.450, 12.100
-181.389, 49.897, 4.472, 12.150
-181.389, 49.673, 4.494, 12.200
-181.389, 49.447, 4.516, 12.250
-181.389, 49.221, 4.538, 12.300
-181.390, 48.993, 4.560, 12.350
-181.390, 48.764, 4.583, 12.400
-181.390, 48.534, 4.605, 12.450
-181.390, 48.303, 4.628, 12.500
-181.390, 48.071, 4.650, 12.550
-181.390, 47.838, 4.673, 12.600
-181.390, 47.603, 4.696, 12.650
-181.390, 47.368, 4.719, 12.700
-181.390, 47.131, 4.742, 12.750
-181.390, 46.893, 4.766, 12.800
-181.390, 46.654, 4.789, 12.850
-181.390, 46.414, 4.813, 12.900
-181.390, 46.172, 4.836, 12.950
-181.390, 45.930, 4.860, 13.000
-181.391, 45.686, 4.884, 13.050
-181.391, 45.441, 4.909, 13.100
-181.391, 45.195, 4.933, 13.150
-181.391, 44.947, 4.957, 13.200
-181.391, 44.698, 4.982, 13.250
-181.391, 44.449, 5.007, 13.300
-181.391, 44.197, 5.032, 13.350
-181.391, 43.945, 5.056, 13.400
-181.391, 43.691, 5.081, 13.450
-181.391, 43.436, 5.104, 13.500
-181.391, 43.181, 5.121, 13.550
-181.391, 42.926, 5.099, 13.600
-181.391, 42.672, 5.083, 13.650
-181.391, 42.418, 5.085, 13.700
-181.391, 42.163, 5.103, 13.750
-181.391, 41.907, 5.133, 13.800
-181.391, 41.649, 5.169, 13.850
-181.391, 41.389, 5.208, 13.900
-181.391, 41.127, 5.247, 13.950
-181.391, 40.863, 5.285, 14.000
-181.391, 40.597, 5.323, 14.050
-181.391, 40.330, 5.359, 14.100
-181.390, 40.061, 5.395, 14.150
-181.390, 39.790, 5.428, 14.200
-181.390, 39.517, 5.463, 14.250
-181.390, 39.243, 5.495, 14.300
-181.390, 38.967, 5.529, 14.350
-181.390, 38.690, 5.559, 14.400
-181.390, 38.410, 5.593, 14.450
-181.390, 38.130, 5.623, 14.500
-181.390, 37.848, 5.656, 14.550
-181.390, 37.564, 5.685, 14.600
-181.390, 37.278, 5.718, 14.650
-181.389, 36.992, 5.747, 14.700
-181.389, 36.703, 5.780, 14.750
-181.389, 36.413, 5.808, 14.800
-181.390, 36.122, 5.841, 14.850
-181.391, 35.829, 5.869, 14.900
-181.391, 35.534, 5.903, 14.950
-181.391, 35.238, 5.931, 15.000
-181.391, 34.940, 5.964, 15.050
-181.391, 34.641, 5.992, 15.100
-181.391, 34.341, 6.026, 15.150
-181.391, 34.038, 6.054, 15.200
-181.391, 33.735, 6.088, 15.250
-181.391, 33.429, 6.116, 15.300
-181.391, 33.122, 6.150, 15.350
-181.391, 32.814, 6.178, 15.400
-181.391, 32.504, 6.213, 15.450
-181.391, 32.192, 6.241, 15.500
-181.390, 31.879, 6.276, 15.550
-181.390, 31.564, 6.304, 15.600
-181.390, 31.248, 6.340, 15.650
-181.390, 30.930, 6.368, 15.700
-181.390, 30.610, 6.404, 15.750
-181.389, 30.289, 6.433, 15.800
-181.389, 29.966, 6.469, 15.850
-181.389, 29.642, 6.498, 15.900
-181.389, 29.316, 6.534, 15.950
-181.388, 28.988, 6.563, 16.000
-181.388, 28.659, 6.600, 16.050
-181.388, 28.328, 6.630, 16.100
-181.388, 27.995, 6.667, 16.150
-181.387, 27.661, 6.697, 16.200
-181.387, 27.324, 6.734, 16.250
-181.386, 26.987, 6.764, 16.300
-181.386, 26.647, 6.801, 16.350
-181.386, 26.306, 6.832, 16.400
-181.385, 25.963, 6.868, 16.450
-181.385, 25.619, 6.899, 16.500
-181.385, 25.273, 6.935, 16.550
-181.384, 24.925, 6.966, 16.600
-181.384, 24.575, 7.004, 16.650
-181.383, 24.224, 7.035, 16.700
-181.383, 23.871, 7.073, 16.750
-181.382, 23.516, 7.105, 16.800
-181.382, 23.160, 7.143, 16.850
-181.381, 22.802, 7.176, 16.900
-181.381, 22.442, 7.213, 16.950
-181.380, 22.080, 7.247, 17.000
-181.380, 21.716, 7.285, 17.050
-181.379, 21.351, 7.319, 17.100
-181.379, 20.984, 7.357, 17.150
-181.378, 20.615, 7.392, 17.200
-181.378, 20.244, 7.430, 17.250
-181.377, 19.871, 7.466, 17.300
-181.377, 19.496, 7.504, 17.350
-181.376, 19.120, 7.540, 17.400
-181.375, 18.742, 7.578, 17.450
-181.375, 18.362, 7.614, 17.500
